parameters:
P = 0.900000	Q = 0.100000	D_A = 0.090000	error rate = 0.010000	average coverage per site = 3	sample size = 100	# of iterations = 10000

iteration	sample P	sample Q	sample error rate	sample p	sample D_A	best_major_allele_freq	best_D_A	best_f	estimated P	estimated Q	best_error	HWE_maxll	null_maxll	maxll	pol_llstat	HWE_llstat
101	0.920000	0.080000	0.006920	0.920000	0.073600	0.920000	0.073600	1.000000	0.920000	0.080000	0.010381	-55.273212	-119.365989	-41.659859	155.412261	27.226706
102	0.890000	0.110000	0.012085	0.890000	0.097900	0.880000	0.105600	1.000000	0.880000	0.120000	0.018127	-81.815558	-189.755452	-60.467948	258.575007	42.695220
103	0.890000	0.110000	0.010309	0.890000	0.097900	0.885000	0.096775	0.950872	0.880000	0.110000	0.005155	-61.027551	-151.498859	-46.758376	209.480966	28.538350
104	0.930000	0.070000	0.019417	0.930000	0.065100	0.930000	0.065100	1.000000	0.930000	0.070000	0.029126	-75.600559	-138.001650	-61.632498	152.738303	27.936121
105	0.900000	0.100000	0.012739	0.900000	0.090000	0.900000	0.090000	1.000000	0.900000	0.100000	0.009554	-74.364239	-172.643921	-58.026543	229.234756	32.675392
106	0.860000	0.140000	0.010101	0.860000	0.120400	0.860000	0.120400	1.000000	0.860000	0.140000	0.010101	-78.394813	-170.064265	-60.362497	219.403535	36.064632
107	0.910000	0.090000	0.018587	0.910000	0.081900	0.900000	0.090000	1.000000	0.900000	0.100000	0.022305	-67.978669	-107.262503	-57.389912	99.745182	21.177514
108	0.850000	0.150000	0.003497	0.850000	0.127500	0.850000	0.127500	1.000000	0.850000	0.150000	0.005245	-68.866900	-176.678977	-47.385108	258.587739	42.963585
109	0.850000	0.150000	0.002994	0.850000	0.127500	0.840000	0.124400	0.925595	0.830000	0.150000	0.000000	-69.020394	-193.094483	-49.081349	288.026268	39.878091
110	0.920000	0.080000	0.014085	0.920000	0.073600	0.920000	0.073600	1.000000	0.920000	0.080000	0.015845	-62.777379	-122.202676	-50.287532	143.830288	24.979696
111	0.840000	0.160000	0.009901	0.840000	0.134400	0.830000	0.141100	1.000000	0.830000	0.170000	0.004950	-77.965679	-182.373455	-59.471688	245.803532	36.987980
112	0.950000	0.050000	0.003257	0.950000	0.047500	0.950000	0.047500	1.000000	0.950000	0.050000	0.004886	-36.141753	-80.421565	-27.533106	105.776918	17.217295
